,UserId,place_polarity,place_subjectivity,food_polarity,food_subjectivity,service_polarity,service_subjectivity,ambience_polarity,ambience_subjectivity,money_polarity,money_subjectivity
0,14,0.0,0.0,0.3333333333333333,0.55,0.0,0.0,0.0,0.0,0.0,0.0
1,421,-0.05833333333333333,0.3833333333333333,0.2666666666666668,0.3625,0.3,0.47764550264550265,0.14285714285714285,0.28452380952380957,0.0,0.0
2,449,0.08333333333333333,0.20833333333333331,0.2,0.35,0.0,0.0,0.35,0.425,0.35,0.425
3,965,0.0,0.0,0.13333333333333333,0.2722222222222222,0.2,0.45,0.0,0.0,0.0,0.0
4,1011,0.14677849927849929,0.2751743626743627,-0.03564814814814814,0.2422161172161172,0.03888888888888889,0.061111111111111116,0.20370370370370366,0.2617283950617284,0.16666666666666666,0.2222222222222222
5,1346,0.15,0.4,-0.033333333333333326,0.8666666666666667,-0.30000000000000004,0.4,0.0,0.0,0.0,0.0
6,1446,0.3894444444444445,0.41583333333333333,0.47724867724867726,0.512962962962963,0.4000000000000001,0.5,0.3208333333333333,0.3041666666666667,0.26666666666666666,0.25
7,1608,0.0,0.0,0.7166666666666667,0.9166666666666669,0.0,0.0,1.0,1.0,0.0,0.0
8,1741,0.0,0.0,0.013333333333333341,0.335,0.0,0.0,0.06666666666666668,0.3,0.0,0.0
9,1811,0.0,0.375,0.7,0.6000000000000001,0.0,0.0,0.0,0.0,-0.15000000000000002,0.25
10,1931,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.25416666666666665,0.0,0.0
11,1992,0.09166666666666667,0.13333333333333333,-0.2,0.7125,0.0,0.0,0.18125,0.45625,0.09166666666666667,0.10833333333333334
12,2134,0.35,0.30000000000000004,0.2475,0.445,0.0,0.0,0.6499999999999999,0.8,0.0,0.0
13,2142,0.0,0.08333333333333333,0.14285714285714285,0.25,0.0,0.0,0.15238095238095237,0.3333333333333333,0.0,0.0
14,2302,0.07083333333333333,0.11805555555555557,0.6333333333333333,0.5666666666666668,0.0,0.0,0.08666666666666667,0.24666666666666667,0.0,0.0
15,2373,0.35,0.4,0.375,0.6875,0.375,0.3375,0.15113636363636362,0.65625,0.0,0.0
16,2392,0.0,0.0,-0.3909722222222222,0.6836805555555555,-0.3,0.35,0.0,0.0,0.0,0.0
17,2549,-0.06093749999999997,0.24583333333333332,0.1640625,0.625,-0.20520833333333333,0.25833333333333336,0.0,0.0,-0.10000000000000002,0.0
18,2646,0.2222222222222222,0.3055555555555556,-0.18465363511659807,0.49749314128943767,-0.006481481481481477,0.10833333333333334,0.22700617283950622,0.42831790123456787,0.0,0.1111111111111111
19,2686,-0.02,0.1,-0.22166666666666668,0.2713888888888889,0.12333333333333336,0.24333333333333332,0.22166666666666668,0.4725,0.0,0.0
